Customer_ID,Customer_Name,Segment,Customer_Total_Sales,Customer_Order_Count,First_Purchase,Last_Purchase,Customer_Lifetime_Days,Customer_Tier
PF-19165,Philip Fox,Consumer,2770.0,6,2015-09-20,2018-06-17,1001,Gold
TS-21610,Troy Staebel,Consumer,2820.424,7,2015-08-16,2018-11-05,1177,Gold
LS-16975,Lindsay Shagiari,Home Office,2988.674,9,2015-10-20,2018-12-10,1147,Gold
DW-13585,Dorothy Wardle,Corporate,1204.854,7,2015-08-24,2018-05-02,982,Silver
LC-16885,Lena Creighton,Consumer,7663.126,12,2015-04-25,2018-12-14,1329,Platinum
JD-15895,Jonathan Doherty,Corporate,7610.8640000000005,11,2015-03-26,2017-12-01,981,Platinum
SH-19975,Sally Hughsby,Corporate,2465.6594999999998,12,2015-12-10,2018-12-01,1087,Gold
SG-20080,Sandra Glassco,Consumer,3406.5809999999997,3,2016-10-31,2018-12-22,782,Gold
HA-14920,Helen Andreada,Consumer,2584.158,8,2015-10-11,2018-12-10,1156,Gold
MG-17680,Maureen Gastineau,Home Office,2350.188,4,2015-10-22,2018-09-29,1073,Gold
JE-16165,Justin Ellison,Corporate,2697.248,3,2017-12-05,2018-12-10,370,Gold
TW-21025,Tamara Willingham,Home Office,5278.826,7,2015-12-22,2018-10-27,1040,Platinum
SP-20650,Stephanie Phelps,Corporate,1872.4360000000001,9,2015-04-16,2017-12-09,968,Silver
NK-18490,Neil Knudson,Home Office,572.048,7,2016-05-28,2018-10-21,876,Bronze
DB-13060,Dave Brooks,Consumer,4151.51,6,2015-03-01,2018-12-14,1384,Platinum
NP-18670,Nora Paige,Consumer,3908.402,5,2016-02-27,2018-11-02,979,Platinum
TT-21070,Ted Trevino,Consumer,4915.602,7,2015-05-18,2018-11-29,1291,Platinum
EM-13960,Eric Murdock,Consumer,933.704,5,2016-10-01,2018-08-01,669,Bronze
RD-19900,Ruben Dartt,Consumer,3133.924,9,2015-04-05,2018-09-07,1251,Gold
MJ-17740,Max Jones,Consumer,6320.746,7,2016-06-09,2018-12-08,912,Platinum
BM-11140,Becky Martin,Consumer,11789.63,4,2015-09-08,2018-02-26,902,Platinum
CS-12130,Chad Sievert,Consumer,884.64,4,2015-08-05,2017-08-28,754,Bronze
JB-15400,Jennifer Braxton,Corporate,1791.605,10,2015-09-14,2018-12-23,1196,Silver
SJ-20500,Shirley Jackson,Consumer,1318.776,5,2015-08-31,2018-04-21,964,Silver
JK-15640,Jim Kriz,Home Office,4760.434,9,2015-09-19,2018-07-03,1018,Platinum
DK-13150,David Kendrick,Corporate,797.832,2,2015-12-05,2018-12-20,1111,Bronze
RM-19675,Robert Marley,Home Office,5979.0960000000005,5,2015-11-14,2018-12-24,1136,Platinum
SK-19990,Sally Knutson,Consumer,883.409,3,2017-11-28,2018-12-22,389,Bronze
FM-14290,Frank Merwin,Home Office,3736.198,9,2015-08-26,2018-11-24,1186,Platinum
AM-10360,Alice McCarthy,Corporate,814.012,5,2015-10-06,2018-12-02,1153,Bronze
MP-17470,Mark Packer,Home Office,2945.822,6,2015-03-30,2017-01-11,653,Gold
MZ-17515,Mary Zewe,Corporate,2564.906,6,2015-04-04,2018-03-23,1084,Gold
CB-12025,Cassandra Brandow,Consumer,5730.669,9,2015-03-21,2018-11-13,1333,Platinum
VM-21685,Valerie Mitchum,Home Office,1160.116,6,2015-04-07,2018-11-06,1309,Silver
FH-14365,Fred Hopkins,Corporate,6987.196,8,2015-10-20,2018-12-25,1162,Platinum
MB-17305,Maria Bertelson,Consumer,1548.702,10,2015-08-08,2018-11-12,1192,Silver
BS-11755,Bruce Stewart,Consumer,2562.382,7,2015-05-18,2018-12-29,1321,Gold
LC-17140,Logan Currie,Consumer,2633.582,9,2015-09-09,2018-12-17,1195,Gold
HK-14890,Heather Kirkland,Corporate,4877.784,8,2015-06-10,2018-08-01,1148,Platinum
LE-16810,Laurel Elliston,Consumer,1469.45,6,2015-05-27,2018-12-09,1292,Silver
JH-15985,Joseph Holt,Consumer,7954.9980000000005,6,2015-08-09,2018-12-01,1210,Platinum
MS-17980,Michael Stewart,Corporate,855.116,6,2015-06-30,2018-12-04,1253,Bronze
VW-21775,Victoria Wilson,Corporate,6134.0380000000005,10,2015-05-11,2018-12-02,1301,Platinum
JH-15910,Jonathan Howell,Consumer,959.477,7,2016-06-12,2018-11-19,890,Bronze
JB-15925,Joni Blumstein,Consumer,900.552,3,2015-12-05,2016-12-24,385,Bronze
DS-13180,David Smith,Corporate,2881.8128,9,2015-04-28,2018-12-07,1319,Gold
VD-21670,Valerie Dominguez,Consumer,6442.254,6,2015-08-04,2017-05-28,663,Platinum
EA-14035,Erin Ashbrook,Corporate,2752.441,12,2015-09-13,2018-07-31,1052,Gold
DB-13120,David Bremer,Corporate,2973.094,7,2016-05-01,2018-11-12,925,Gold
KL-16645,Ken Lonsdale,Consumer,14175.229000000001,12,2015-07-25,2018-11-13,1207,Platinum
DW-13480,Dianna Wilson,Home Office,5271.628,5,2015-06-01,2018-05-27,1091,Platinum
LH-17155,Logan Haushalter,Consumer,1739.689,9,2015-12-12,2017-12-10,729,Silver
KC-16540,Kelly Collister,Consumer,3908.262,4,2016-11-02,2018-09-24,691,Platinum
DL-13315,Delfina Latchford,Consumer,1458.258,8,2015-01-16,2018-12-08,1422,Silver
DR-12880,Dan Reichenbach,Corporate,6528.034000000001,9,2016-09-25,2018-12-27,823,Platinum
CC-12670,Craig Carreira,Consumer,2269.7015,7,2015-12-23,2018-12-01,1074,Gold
Dl-13600,Dorris liebe,Corporate,755.602,5,2015-03-30,2018-09-02,1252,Bronze
SB-20290,Sean Braxton,Corporate,8057.891,7,2015-05-09,2018-11-13,1284,Platinum
RC-19825,Roy Collins,Consumer,966.409,6,2015-12-05,2017-12-26,752,Bronze
AH-10210,Alan Hwang,Consumer,4805.344,9,2015-11-29,2018-12-24,1121,Platinum
CB-12535,Claudia Bergmann,Corporate,2574.1455,7,2016-01-02,2018-06-16,896,Gold
CA-12310,Christine Abelman,Corporate,1421.954,4,2015-07-19,2018-12-17,1247,Silver
KH-16690,Kristen Hastings,Corporate,5990.799,7,2015-03-21,2018-12-28,1378,Platinum
BB-10990,Barry Blumstein,Corporate,744.3399999999999,5,2015-07-27,2018-09-16,1147,Bronze
AG-10495,Andrew Gjertsen,Corporate,1419.247,7,2016-01-04,2018-10-13,1013,Silver
JO-15280,Jas O'Carroll,Consumer,1934.272,6,2015-03-31,2018-09-29,1278,Silver
AH-10195,Alan Haines,Corporate,1587.452,4,2016-03-05,2018-11-05,975,Silver
NZ-18565,Nick Zandusky,Home Office,2488.31,9,2015-08-02,2018-10-06,1161,Gold
KL-16555,Kelly Lampkin,Corporate,5016.488,8,2015-06-15,2018-12-14,1278,Platinum
AS-10225,Alan Schoenberger,Corporate,4260.784,5,2015-10-18,2018-12-08,1147,Platinum
CR-12625,Corey Roper,Home Office,475.9,3,2015-06-01,2017-09-16,838,Bronze
SH-20395,Shahid Hopkins,Consumer,2180.718,10,2015-11-02,2018-12-07,1131,Silver
BP-11185,Ben Peterman,Corporate,3675.861,9,2016-03-24,2018-12-29,1010,Platinum
TS-21205,Thomas Seio,Corporate,5371.09,7,2015-03-21,2018-06-15,1182,Platinum
AG-10525,Andy Gerbode,Corporate,1455.038,4,2015-08-09,2016-09-07,395,Silver
SP-20860,Sung Pak,Corporate,4282.94,10,2015-12-15,2018-10-12,1032,Platinum
NM-18445,Nathan Mautz,Home Office,6459.344,7,2015-02-08,2018-07-23,1261,Platinum
FA-14230,Frank Atkinson,Corporate,2984.054,7,2015-09-19,2018-09-24,1101,Gold
GK-14620,Grace Kelly,Corporate,6497.27,9,2015-06-25,2018-09-09,1172,Platinum
DJ-13510,Don Jones,Corporate,2501.6879999999996,8,2015-08-17,2018-11-12,1183,Gold
PO-18850,Patrick O'Brill,Consumer,7473.8282,11,2015-11-02,2018-12-26,1150,Platinum
JL-15850,John Lucas,Consumer,2725.256,6,2015-07-22,2017-04-25,643,Gold
DB-13615,Doug Bickford,Consumer,1989.05,7,2015-09-30,2018-11-27,1154,Silver
AC-10420,Alyssa Crouse,Corporate,925.8,3,2015-07-12,2018-05-12,1035,Bronze
CC-12550,Clay Cheatham,Consumer,113.832,3,2018-06-15,2018-12-03,171,Bronze
TD-20995,Tamara Dahlen,Consumer,1434.5480000000002,9,2015-05-19,2018-11-23,1284,Silver
AB-10060,Adam Bellavance,Home Office,7755.62,8,2016-09-18,2018-11-06,779,Platinum
JL-15505,Jeremy Lonsdale,Consumer,3173.874,6,2015-11-14,2018-11-11,1093,Gold
VB-21745,Victoria Brennan,Corporate,2005.596,6,2016-07-17,2018-11-06,842,Silver
KW-16435,Katrina Willman,Consumer,4416.5199999999995,5,2016-08-24,2018-09-25,762,Platinum
JD-16060,Julia Dunbar,Consumer,695.442,3,2015-09-24,2018-03-05,893,Bronze
MK-17905,Michael Kennedy,Corporate,2302.368,8,2015-11-18,2018-12-02,1110,Gold
GT-14755,Guy Thornton,Consumer,226.436,4,2016-02-18,2018-11-26,1012,Bronze
AG-10900,Arthur Gainer,Consumer,4510.797,10,2015-07-23,2018-09-25,1160,Platinum
MM-18280,Muhammed MacIntyre,Corporate,775.414,9,2015-01-20,2018-10-06,1355,Bronze
AR-10405,Allen Rosenblatt,Corporate,2236.128,5,2015-10-03,2018-08-27,1059,Gold
RA-19915,Russell Applegate,Consumer,4793.543,9,2015-06-30,2018-12-18,1267,Platinum
AS-10285,Alejandro Savely,Corporate,3214.236,6,2017-05-21,2018-12-11,569,Gold
LA-16780,Laura Armstrong,Corporate,8673.222,11,2015-04-29,2018-07-29,1187,Platinum
DO-13435,Denny Ordway,Consumer,1300.0315,9,2015-10-03,2018-08-19,1051,Silver
DK-13225,Dean Katz,Corporate,4802.394,9,2015-03-14,2018-12-20,1377,Platinum
NG-18430,Nathan Gelder,Consumer,1395.9379999999999,5,2015-11-24,2018-11-12,1084,Silver
MV-18190,Mike Vittorini,Consumer,1734.574,7,2015-01-30,2018-12-11,1411,Silver
JG-15115,Jack Garza,Consumer,2358.676,3,2015-09-21,2016-12-03,439,Gold
BP-11095,Bart Pistole,Corporate,2442.044,12,2015-06-07,2018-12-13,1285,Gold
VP-21730,Victor Preis,Home Office,993.9019999999999,3,2016-07-05,2018-11-30,878,Bronze
SS-20140,Saphhira Shifley,Corporate,1324.028,8,2015-11-23,2018-12-15,1118,Silver
AG-10675,Anna Gayman,Consumer,3489.0396000000005,7,2016-05-07,2018-09-24,870,Gold
LF-17185,Luke Foster,Consumer,3930.5089999999996,7,2015-07-26,2018-12-08,1231,Platinum
RF-19840,Roy Französisch,Consumer,938.862,7,2015-11-12,2018-12-24,1138,Bronze
KH-16510,Keith Herrera,Consumer,5229.695000000001,6,2015-08-15,2018-12-08,1211,Platinum
KC-16675,Kimberly Carter,Corporate,1146.05,4,2015-12-13,2018-11-03,1056,Silver
CJ-12010,Caroline Jumper,Consumer,11164.974,8,2017-03-10,2018-06-24,471,Platinum
PB-19150,Philip Brown,Consumer,1456.95,8,2015-07-14,2018-09-24,1168,Silver
MP-17965,Michael Paige,Corporate,3983.6420000000003,9,2016-04-18,2018-10-19,914,Platinum
NF-18385,Natalie Fritzler,Consumer,8080.474,6,2015-02-11,2018-10-12,1339,Platinum
SD-20485,Shirley Daniels,Home Office,6121.114,9,2015-01-26,2018-06-13,1234,Platinum
KH-16630,Ken Heidel,Corporate,3918.9660000000003,9,2015-11-01,2018-11-02,1097,Platinum
RB-19795,Ross Baird,Home Office,5633.316000000001,8,2015-06-03,2018-11-28,1274,Platinum
MK-18160,Mike Kennedy,Consumer,1031.602,4,2015-12-19,2018-05-04,867,Bronze
PO-19180,Philisse Overcash,Home Office,4893.043,9,2016-08-11,2018-07-23,711,Platinum
BB-11545,Brenda Bowman,Corporate,6765.728,9,2016-06-05,2018-12-02,910,Platinum
TB-21595,Troy Blackwell,Consumer,1240.871,4,2015-02-18,2018-03-20,1126,Silver
RB-19360,Raymond Buch,Consumer,15117.339,6,2017-04-01,2018-09-25,542,Platinum
EB-13705,Ed Braxton,Corporate,3644.978,9,2015-07-08,2018-11-12,1223,Gold
SC-20095,Sanjit Chand,Consumer,14142.333999999999,9,2015-02-12,2018-01-15,1068,Platinum
TN-21040,Tanja Norvell,Home Office,3130.221,7,2015-10-10,2018-10-01,1087,Gold
JS-15940,Joni Sundaresam,Home Office,469.169,5,2015-05-03,2017-09-23,874,Bronze
MH-17785,Maya Herman,Corporate,2203.7780000000002,7,2015-05-27,2018-09-23,1215,Silver
JP-15520,Jeremy Pistek,Consumer,3635.594,7,2015-08-22,2018-12-22,1218,Gold
JE-15475,Jeremy Ellison,Consumer,1388.682,6,2016-03-16,2018-06-20,826,Silver
JG-15805,John Grady,Corporate,1507.018,6,2015-04-05,2018-05-21,1142,Silver
XP-21865,Xylona Preis,Consumer,2374.658,11,2015-01-20,2018-11-17,1397,Gold
EM-14065,Erin Mull,Consumer,228.99,4,2015-07-22,2018-11-13,1210,Bronze
MT-18070,Michelle Tran,Home Office,1319.4498,4,2015-09-25,2018-06-10,989,Silver
SA-20830,Sue Ann Reed,Consumer,4767.3415,10,2015-02-22,2018-10-28,1344,Platinum
CW-11905,Carl Weiss,Home Office,1136.592,6,2015-06-09,2018-12-08,1278,Silver
AJ-10960,Astrea Jones,Consumer,629.2479999999999,3,2015-09-14,2018-10-17,1129,Bronze
SS-20590,Sonia Sunley,Consumer,418.49,6,2015-08-05,2017-10-24,811,Bronze
RO-19780,Rose O'Brian,Consumer,3815.478,7,2016-05-12,2018-11-25,927,Platinum
MD-17350,Maribeth Dona,Consumer,2716.412,6,2015-11-05,2018-09-04,1034,Gold
MY-17380,Maribeth Yedwab,Corporate,2254.285,7,2016-10-26,2018-12-01,766,Gold
CM-12385,Christopher Martinez,Consumer,8954.019999999999,4,2016-03-16,2018-11-23,982,Platinum
LS-17245,Lynn Smith,Consumer,1008.1360000000001,6,2015-10-16,2018-11-26,1137,Bronze
BN-11515,Bradley Nguyen,Consumer,1459.344,5,2015-03-17,2018-12-21,1375,Silver
DB-13210,Dean Braden,Consumer,2332.577,10,2016-03-22,2018-12-21,1004,Gold
MC-17605,Matt Connell,Corporate,2258.192,8,2015-03-19,2018-09-09,1270,Gold
BD-11605,Brian Dahlen,Consumer,2783.189,6,2015-01-13,2018-09-24,1350,Gold
PH-18790,Patricia Hirasaki,Home Office,729.648,1,2018-10-21,2018-10-21,0,Bronze
MG-18145,Mike Gockenbach,Consumer,3061.543,4,2015-03-29,2018-10-07,1288,Gold
KB-16240,Karen Bern,Corporate,3152.6150000000002,7,2015-03-31,2018-12-26,1366,Gold
JC-15340,Jasper Cacioppo,Consumer,71.263,4,2015-01-28,2018-09-07,1318,Bronze
RL-19615,Rob Lucas,Consumer,6234.91,8,2015-12-05,2018-08-31,1000,Platinum
AA-10375,Allen Armold,Consumer,1056.39,9,2015-04-21,2018-12-11,1330,Bronze
EP-13915,Emily Phan,Consumer,5478.0608,17,2015-07-06,2018-12-18,1261,Platinum
DK-12985,Darren Koutras,Consumer,1687.04,5,2015-11-24,2018-12-23,1125,Silver
BD-11500,Bradley Drucker,Consumer,4411.2429999999995,6,2015-02-01,2018-11-25,1393,Platinum
LM-17065,Liz MacKendrick,Consumer,1346.774,5,2015-06-27,2017-12-04,891,Silver
AS-10135,Adrian Shami,Home Office,58.82,2,2017-11-13,2018-11-19,371,Bronze
BD-11320,Bill Donatelli,Consumer,5718.521,12,2016-05-31,2018-11-27,910,Platinum
GT-14710,Greg Tran,Consumer,11820.119999999999,11,2015-05-23,2018-11-24,1281,Platinum
AJ-10945,Ashley Jarboe,Consumer,1829.896,6,2015-03-03,2018-08-31,1277,Silver
OT-18730,Olvera Toch,Consumer,3818.624,5,2016-04-20,2018-10-26,919,Platinum
LP-17080,Liz Pelletier,Consumer,756.606,4,2015-06-24,2018-11-20,1245,Bronze
CA-12775,Cynthia Arntzen,Consumer,3041.566,7,2015-06-28,2018-09-01,1161,Gold
JF-15490,Jeremy Farry,Consumer,890.95,10,2015-10-19,2018-08-31,1047,Bronze
FP-14320,Frank Preis,Consumer,4046.746,8,2015-12-07,2018-12-07,1096,Platinum
EB-13840,Ellis Ballard,Corporate,964.448,4,2015-05-30,2018-10-01,1220,Bronze
JF-15415,Jennifer Ferguson,Consumer,2309.432,5,2015-08-22,2018-12-28,1224,Gold
SF-20200,Sarah Foster,Consumer,3422.7859999999996,9,2015-12-23,2018-11-01,1044,Gold
TG-21640,Trudy Glocke,Consumer,2074.661,4,2015-03-31,2018-09-07,1256,Silver
CS-11950,Carlos Soltero,Consumer,3036.547,11,2015-06-08,2018-12-05,1276,Gold
CC-12145,Charles Crestani,Consumer,2471.65,7,2015-07-20,2018-09-15,1153,Gold
DV-13465,Dianna Vittorini,Consumer,3254.487,5,2015-06-22,2018-12-01,1258,Gold
BD-11725,Bruce Degenhardt,Consumer,1526.5,6,2016-07-03,2018-09-28,817,Silver
ZC-21910,Zuschuss Carroll,Consumer,8025.707,13,2015-10-13,2018-11-06,1120,Platinum
MS-17830,Melanie Seite,Consumer,370.348,4,2015-01-09,2017-10-04,999,Bronze
LR-16915,Lena Radford,Consumer,5142.892,6,2015-08-08,2018-12-04,1214,Platinum
TP-21130,Theone Pippenger,Consumer,4454.0560000000005,9,2016-04-14,2018-12-22,982,Platinum
CK-12205,Chloris Kastensmidt,Consumer,3154.855,13,2015-03-11,2018-11-21,1351,Gold
AS-10240,Alan Shonely,Consumer,503.968,5,2015-03-15,2018-06-21,1194,Bronze
AR-10510,Andrew Roberts,Consumer,264.86400000000003,5,2015-05-02,2018-12-16,1324,Bronze
NB-18655,Nona Balk,Corporate,1972.599,9,2015-12-05,2018-12-11,1102,Silver
GD-14590,Giulietta Dortch,Corporate,1888.07,4,2015-05-05,2018-12-25,1330,Silver
CK-12595,Clytie Kelty,Consumer,2372.75,11,2015-12-26,2018-11-17,1057,Gold
NG-18355,Nat Gilpin,Corporate,1869.58,5,2015-11-24,2018-11-12,1084,Silver
CA-12265,Christina Anderson,Consumer,2638.3272,8,2015-03-25,2018-11-04,1320,Gold
SF-20965,Sylvia Foulston,Corporate,3336.535,9,2015-10-21,2018-11-12,1118,Gold
MO-17800,Meg O'Connel,Home Office,1687.0269999999998,8,2016-09-17,2018-09-17,730,Silver
AT-10735,Annie Thurman,Consumer,3831.864,10,2015-08-30,2018-12-17,1205,Platinum
FM-14380,Fred McMath,Consumer,2523.266,9,2016-07-12,2018-08-07,756,Gold
DJ-13420,Denny Joy,Corporate,2012.52,4,2015-12-08,2017-04-02,481,Silver
ME-17725,Max Engle,Consumer,1908.4532,8,2015-07-12,2018-12-02,1239,Silver
JD-16150,Justin Deggeller,Corporate,8828.0305,8,2015-11-16,2018-11-19,1099,Platinum
JL-15835,John Lee,Consumer,9576.343,10,2015-04-18,2018-12-09,1331,Platinum
SC-20305,Sean Christensen,Consumer,3650.473,6,2016-01-27,2018-12-01,1039,Platinum
CC-12430,Chuck Clark,Home Office,2870.05,10,2016-09-06,2018-12-30,845,Gold
AR-10825,Anthony Rawles,Corporate,4523.336,8,2015-06-30,2018-11-02,1221,Platinum
SR-20740,Steven Roelle,Home Office,4345.8859999999995,8,2015-02-20,2018-06-17,1213,Platinum
CR-12730,Craig Reiter,Consumer,1600.55,4,2015-08-20,2018-10-13,1150,Silver
EH-14125,Eugene Hildebrand,Home Office,3082.653,10,2015-10-19,2018-07-31,1016,Gold
SP-20545,Sibella Parks,Corporate,1306.086,6,2015-10-13,2018-02-06,847,Silver
TH-21235,Tiffany House,Corporate,1022.201,8,2015-11-04,2018-09-04,1035,Bronze
RP-19390,Resi Pölking,Consumer,5153.084,12,2015-05-24,2018-11-27,1283,Platinum
RB-19570,Rob Beeghly,Consumer,528.546,5,2017-04-28,2018-12-05,586,Bronze
CD-11980,Carol Darley,Consumer,639.766,3,2017-11-24,2018-11-06,347,Bronze
DJ-13630,Doug Jacobs,Consumer,3356.398,3,2016-12-14,2018-12-18,734,Gold
GT-14635,Grant Thornton,Corporate,9351.212,3,2015-06-06,2018-11-04,1247,Platinum
MC-17845,Michael Chen,Consumer,3805.714,7,2015-07-05,2018-12-29,1273,Platinum
RA-19285,Ralph Arnett,Consumer,2617.906,9,2015-12-13,2018-12-25,1108,Gold
NP-18325,Naresj Patel,Consumer,5529.62,6,2015-05-13,2018-12-05,1302,Platinum
AB-10165,Alan Barnes,Consumer,1113.838,8,2015-11-16,2018-12-05,1115,Silver
JO-15550,Jesus Ocampo,Home Office,1090.838,5,2016-03-19,2018-05-29,801,Silver
JK-15370,Jay Kimmel,Consumer,2136.458,7,2015-04-11,2018-11-16,1315,Silver
BN-11470,Brad Norvell,Corporate,265.296,4,2015-09-12,2018-12-06,1181,Bronze
DP-13165,David Philippe,Consumer,1058.616,2,2015-12-02,2016-10-10,313,Bronze
TH-21550,Tracy Hopkins,Home Office,4234.0960000000005,7,2015-04-05,2018-10-19,1293,Platinum
AP-10915,Arthur Prichep,Consumer,3323.556,10,2015-08-23,2018-09-23,1127,Gold
RS-19765,Roland Schwarz,Corporate,4159.7699999999995,8,2015-04-07,2018-11-24,1327,Platinum
SV-20365,Seth Vernon,Consumer,11470.949999999999,10,2015-01-11,2018-09-20,1348,Platinum
CK-12325,Christine Kargatis,Home Office,2945.321,5,2015-03-14,2018-09-01,1267,Gold
RD-19810,Ross DeVincentis,Home Office,1137.616,8,2015-10-27,2018-12-16,1146,Silver
MR-17545,Mathew Reese,Home Office,639.178,4,2015-09-03,2018-08-27,1089,Bronze
SC-20695,Steve Chapman,Corporate,2576.408,10,2015-12-16,2018-10-02,1021,Gold
JF-15355,Jay Fein,Consumer,1911.844,6,2016-10-23,2018-09-16,693,Silver
EG-13900,Emily Grady,Consumer,1832.02,5,2016-11-02,2018-12-08,766,Silver
DS-13030,Darrin Sayre,Home Office,1762.213,4,2015-07-09,2018-09-28,1177,Silver
PO-19195,Phillina Ober,Home Office,1056.858,5,2015-01-04,2018-10-05,1370,Bronze
